RR001-0000|It was silent, the city of my dreams, marble and serene, due perhaps|It was silent, the city of my dreams, marble and serene, due perhaps
RR001-0001|to the fact that in reality I knew nothing of crowds, poverty, the|to the fact that in reality I knew nothing of crowds, poverty, the
RR001-0002|winds and storms of the inadequate that blow like dust along the paths|winds and storms of the inadequate that blow like dust along the paths
RR001-0003|of life. It was an amazing city, so far-flung, so beautiful, so dead.|of life. It was an amazing city, so far-flung, so beautiful, so dead.
RR001-0004|There were tracks of iron stalking through the air, and streets that|There were tracks of iron stalking through the air, and streets that
RR001-0005|were as cañons, and stairways that mounted in vast flights to noble|were as cañons, and stairways that mounted in vast flights to noble
RR001-0006|plazas, and steps that led down into deep places where were, strangely|plazas, and steps that led down into deep places where were, strangely
RR001-0007|enough, underworld silences. And there were parks and flowers and|enough, underworld silences. And there were parks and flowers and
RR001-0008|rivers. And then, after twenty years, here it stood, as amazing almost|rivers. And then, after twenty years, here it stood, as amazing almost
RR001-0009|as my dream, save that in the waking the flush of life was over it. It|as my dream, save that in the waking the flush of life was over it. It
RR001-0010|possessed the tang of contests and dreams and enthusiasms and delights|possessed the tang of contests and dreams and enthusiasms and delights
RR001-0011|and terrors and despairs. Through its ways and cañons and open spaces|and terrors and despairs. Through its ways and cañons and open spaces
RR001-0012|and underground passages were running, seething, sparkling, darkling, a|and underground passages were running, seething, sparkling, darkling, a
RR001-0013|mass of beings such as my dream-city never knew.|mass of beings such as my dream-city never knew.
RR001-0014|The thing that interested me then as now about New York--as indeed|The thing that interested me then as now about New York -- as indeed
RR001-0015|about any great city, but more definitely New York because it was|about any great city, but more definitely New York because it was
RR001-0016|and is so preponderantly large--was the sharp, and at the same time|and is so preponderantly large -- was the sharp, and at the same time
RR001-0017|immense, contrast it showed between the dull and the shrewd, the|immense, contrast it showed between the dull and the shrewd, the
RR001-0018|strong and the weak, the rich and the poor, the wise and the ignorant.|strong and the weak, the rich and the poor, the wise and the ignorant.
RR001-0019|This, perhaps, was more by reason of numbers and opportunity than|This, perhaps, was more by reason of numbers and opportunity than
RR001-0020|anything else, for of course humanity is much the same everywhere. But|anything else, for of course humanity is much the same everywhere. But
RR001-0021|the number from which to choose was so great here that the strong, or|the number from which to choose was so great here that the strong, or
RR001-0022|those who ultimately dominated, were so very strong, and the weak so|those who ultimately dominated, were so very strong, and the weak so
RR001-0023|very, very weak--and so very, very many.|very, very weak -- and so very, very many.
RR001-0024|I once knew a poor, half-demented, and very much shriveled little|I once knew a poor, half-demented, and very much shriveled little
RR001-0025|seamstress who occupied a tiny hall-bedroom in a side-street|seamstress who occupied a tiny hall-bedroom in a side-street
RR001-0026|rooming-house, cooked her meals on a small alcohol stove set on a|rooming-house, cooked her meals on a small alcohol stove set on a
RR001-0027|bureau, and who had about space enough outside of this to take three|bureau, and who had about space enough outside of this to take three
RR001-0028|good steps either way.|good steps either way.
RR001-0029|“I would rather live in my hall-bedroom in New York than in any|“I would rather live in my hall-bedroom in New York than in any
RR001-0030|fifteen-room house in the country that I ever saw,” she commented|fifteen-room house in the country that I ever saw,” she commented
RR001-0031|once, and her poor little colorless eyes held more of sparkle and snap|once, and her poor little colorless eyes held more of sparkle and snap
RR001-0032|in them than I ever saw there, before or after. She was wont to add|in them than I ever saw there, before or after. She was wont to add
RR001-0033|to her sewing income by reading fortunes in cards and tea-leaves and|to her sewing income by reading fortunes in cards and tea-leaves and
RR001-0034|coffee-grounds, telling of love and prosperity to scores as lowly as|coffee-grounds, telling of love and prosperity to scores as lowly as
RR001-0035|herself, who would never see either. The color and noise and splendor|herself, who would never see either. The color and noise and splendor
